New.Fam	New.ID	Original.Fam	Original.ID	Classification	Classification.1	Classification.3	Inbred.line	Accesion.N	Accesion	Breeding.program	GeneticPool.1	GeneticPool.2
BoH12015	BoH1201501	BoH12015	BoH1201501	Modern Varieties Cluster 1	Modern Varieties Cluster 1	Modern Varieties Cluster 1	BoH1201501	NA	NA	MV1	MV1	MV1
BoH12015	BoH1201502	BoH12015	BoH1201502	Modern Varieties Cluster 1	Modern Varieties Cluster 1	Modern Varieties Cluster 1	BoH1201502	NA	NA	MV1	MV1	MV1
BoH12015	BoH1201503	BoH12015	BoH1201503	Modern Varieties Cluster 1	Modern Varieties Cluster 1	Modern Varieties Cluster 1	BoH1201503	NA	NA	MV1	MV1	MV1
BoH12015	BoH1201504	BoH12015	BoH1201504	Modern Varieties Cluster 1	Modern Varieties Cluster 1	Modern Varieties Cluster 1	BoH1201504	NA	NA	MV1	MV1	MV1
BoH12015	BoH1201505	BoH12015	BoH1201505	Modern Varieties Cluster 1	Modern Varieties Cluster 1	Modern Varieties Cluster 1	BoH1201505	NA	NA	MV1	MV1	MV1
Krakowksy	CML101a	Krakowksy	CML101:81FE7ABXX:7:D12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML101	CML101	CML101	Mexico	Tropical	CML-Mx-Tropical
Warburton	CML107a	Warburton	CML107:81FE8ABXX:1:D12	Warburton	CIMMYT Maize Lines	CIMMYT Maize Lines	CML107	CML107	CML107	Mexico	Tropical	CML-Mx-Tropical
Warburton	CML115	Warburton	CML115:81FE8ABXX:1:F11	Warburton	CIMMYT Maize Lines	CIMMYT Maize Lines	CML115	CML115	CML115	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML116a	Krakowksy	CML116:81FE7ABXX:6:E8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML116	CML116	CML116	Mexico	Tropical	CML-Mx-Tropical
Warburton	CML118a	Warburton	CML118:81N4HABXX:2:A5	Warburton	CIMMYT Maize Lines	CIMMYT Maize Lines	CML118	CML118	CML118	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML121	Krakowksy	CML121:81FE8ABXX:3:E8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML121	CML121	CML121	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML139	Krakowksy	CML139:81N4HABXX:3:D1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML139	CML139	CML139	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML142	Krakowksy	CML142:81FE7ABXX:7:G10	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML142	CML142	CML142	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML144a	Krakowksy	CML144:81N4HABXX:2:C3	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML144	CML144	CML144	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML172	Krakowksy	CML172:81FE7ABXX:7:C7	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML172	CML172	CML172	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML176a	Krakowksy	CML176:81N4HABXX:3:E6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML176	CML176	CML176	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML184	Krakowksy	CML184:81N4HABXX:3:E12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML184	CML184	CML184	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML195	Krakowksy	CML195:81N4HABXX:3:F3	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML195	CML195	CML195	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML196	Krakowksy	CML196:81N4HABXX:2:G3	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML196	CML196	CML196	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML197	Krakowksy	CML197:81FE7ABXX:7:D8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML197	CML197	CML197	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML198a	Krakowksy	CML198:81N4HABXX:3:G8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML198	CML198	CML198	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML199	Krakowksy	CML199:81N4HABXX:4:B1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML199	CML199	CML199	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML200	Krakowksy	CML200:81FE7ABXX:7:B9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML200	CML200	CML200	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML201	Krakowksy	CML201:81N4HABXX:3:H5	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML201	CML201	CML201	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML204a	Krakowksy	CML204:81FE7ABXX:6:H11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML204	CML204	CML204	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML206a	Krakowksy	CML206:81N4HABXX:3:D11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML206	CML206	CML206	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML210	Krakowksy	CML210:81FE7ABXX:1:C11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML210	CML210	CML210	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML211	Krakowksy	CML211:81FE7ABXX:5:B6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML211	CML211	CML211	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML212	Krakowksy	CML212:81N4HABXX:4:B2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML212	CML212	CML212	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML213	Krakowksy	CML213:81FE7ABXX:6:H7	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML213	CML213	CML213	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML214	Krakowksy	CML214:81FE7ABXX:6:F12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML214	CML214	CML214	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML215	Krakowksy	CML215:81FE7ABXX:7:F9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML215	CML215	CML215	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML217a	Krakowksy	CML217:81N4HABXX:2:E7	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML217	CML217	CML217	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML219	Krakowksy	CML219:81N4HABXX:3:H1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML219	CML219	CML219	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML223	Krakowksy	CML223:81N4HABXX:2:F9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML223	CML223	CML223	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML224	Krakowksy	CML224:81N4HABXX:4:C1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML224	CML224	CML224	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML225	Krakowksy	CML225:81N4HABXX:2:F10	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML225	CML225	CML225	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML226	Krakowksy	CML226:81N4HABXX:3:D5	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML226	CML226	CML226	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML227b	Krakowksy	CML227:81FE7ABXX:6:G12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML227	CML227	CML227	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML229	Krakowksy	CML229:81N4HABXX:2:G4	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML229	CML229	CML229	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230a	Krakowksy	CML230:81FE7ABXX:7:B7	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230b	Krakowksy	CML230:C07W2ACXX:1:F1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230c	Krakowksy	CML230:C07W2ACXX:2:F1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230e	Krakowksy	CML230:D0D0BACXX:1:F1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230f	Krakowksy	CML230:D0D7RACXX:1:F1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML230g	Krakowksy	CML230:D0D7RACXX:2:F1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML230	CML230	CML230	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML231	Krakowksy	CML231:81FE7ABXX:7:G12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML231	CML231	CML231	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML233b	Krakowksy	CML233:81N4HABXX:4:D2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML233	CML233	CML233	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML234	Krakowksy	CML234:81FE7ABXX:7:E6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML234	CML234	CML234	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML235b	Krakowksy	CML235:81FE7ABXX:3:B2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML235	CML235	CML235	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML236b	Krakowksy	CML236:81FE7ABXX:7:H2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML236	CML236	CML236	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML242b	Krakowksy	CML242:81N4HABXX:3:A9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML242	CML242	CML242	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML246	Krakowksy	CML246:81FE7ABXX:7:F6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML246	CML246	CML246	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML255b	Krakowksy	CML255:81N4HABXX:3:G2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML255	CML255	CML255	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML269	Krakowksy	CML269:81N4HABXX:2:C5	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML269	CML269	CML269	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML27	Krakowksy	CML270:81FE8ABXX:2:H9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML270	CML270	CML270	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML288a	Krakowksy	CML288:81FE7ABXX:7:E11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML288	CML288	CML288	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML289b	Krakowksy	CML289:81FE7ABXX:6:H8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML289	CML289	CML289	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML295	Krakowksy	CML295:81N4HABXX:2:B8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML295	CML295	CML295	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML304	Krakowksy	CML304:81FE7ABXX:7:E1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML304	CML304	CML304	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML308b	Krakowksy	CML308:81FE7ABXX:6:D11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML308	CML308	CML308	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML309	Krakowksy	CML309:81N4HABXX:2:E9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML309	CML309	CML309	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML310	Krakowksy	CML310:81FE7ABXX:7:F3	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML310	CML310	CML310	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML312	Krakowksy	CML312:81FE7ABXX:6:G9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML312	CML312	CML312	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML313	Krakowksy	CML313:81N4HABXX:3:G1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML313	CML313	CML313	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML315b	Krakowksy	CML315:81FE7ABXX:6:B12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML315	CML315	CML315	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML316	Krakowksy	CML316:81N4HABXX:2:C6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML316	CML316	CML316	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML317	Krakowksy	CML317:81N4HABXX:3:E1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML317	CML317	CML317	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML318	Krakowksy	CML318:81FE7ABXX:7:F8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML318	CML318	CML318	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML319b	Krakowksy	CML319:81N4HABXX:3:C1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML319	CML319	CML319	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML320	Krakowksy	CML320:81FE7ABXX:6:E11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML320	CML320	CML320	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML324	Krakowksy	CML324:81N4HABXX:2:A8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML324	CML324	CML324	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML326	Krakowksy	CML326:81FE7ABXX:7:D10	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML326	CML326	CML326	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML327	Krakowksy	CML327:81N4HABXX:3:B1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML327	CML327	CML327	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML329	Krakowksy	CML329:81N4HABXX:2:H11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML329	CML329	CML329	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML330	Krakowksy	CML330:81N4HABXX:2:A9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML330	CML330	CML330	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML334	Krakowksy	CML334:81N4HABXX:2:G8	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML334	CML334	CML334	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML335	Krakowksy	CML335:81N4HABXX:3:A7	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML335	CML335	CML335	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML338	Krakowksy	CML338:81FE7ABXX:3:A2	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML338	CML338	CML338	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML339b	Krakowksy	CML339:81FE7ABXX:6:F11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML339	CML339	CML339	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML340a	Krakowksy	CML340:81FE7ABXX:5:B1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML340	CML340	CML340	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML342	Krakowksy	CML342:81FE8ABXX:2:H10	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML342	CML342	CML342	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML343	Krakowksy	CML343:81FE7ABXX:2:A5	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML343	CML343	CML343	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML344	Krakowksy	CML344:81N4HABXX:3:H6	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML344	CML344	CML344	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML345	Krakowksy	CML345:81FE7ABXX:7:G9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML345	CML345	CML345	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML346	Krakowksy	CML346:81N4HABXX:4:G1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML346	CML346	CML346	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML347	Krakowksy	CML347:81N4HABXX:3:H11	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML347	CML347	CML347	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML348	Krakowksy	CML348:81FE7ABXX:7:H1	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML348	CML348	CML348	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML357	Krakowksy	CML357:81FE8ABXX:3:H10	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML357	CML357	CML357	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML358	Krakowksy	CML358:81FE7ABXX:2:C4	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML358	CML358	CML358	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML359	Krakowksy	CML359:81N4HABXX:2:D9	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML359	CML359	CML359	Mexico	Tropical	CML-Mx-Tropical
Krakowksy	CML360b	Krakowksy	CML360:81FE7ABXX:7:E12	Krakowksy	CIMMYT Maize Lines	CIMMYT Maize Lines	CML360	CML360	CML360	Mexico	Tropical	CML-Mx-Tropical
