Table S1. Samples and accessions information								
Accesion_ID	Locality	State	Accesion (Germplasm Bank ID)	Longitude	Latitude	Altitude (masl)	N	
AmTp2015(1)	Amatlán de Quetzalcóatl	Morelos	Zea mays ssp. parviglumis allopatric 2015	-99.034083	18.982028	1678	5	
BoH12015	San Cristobal Honduras	Oaxaca	Modern Variety	-97.02734	16.32723	1280	5	
BoNa1943	San Miguel Etla	Oaxaca	Bolita 1943 (CIMMYT 2267)	-96.78517	17.207304	1684	6	
BoNa1970	Ejutla & Agua de Sol	Oaxaca	Bolita 1970 (CIMMYT 6019)	-96.73333333	16.46666667	1471	5	
BoNa2003	San Cristobal Honduras	Oaxaca	"Bolita 2003 (CUCBA, JSG-RMM-LCL-484)"	-97.02194444	16.3236111	1320	7	
BoNa2015a	San Cristobal Honduras	Oaxaca	Bolita 2015	-97.02734	16.32723	1280	6	
BoNa2015b	San Cristobal Honduras	Oaxaca	Bolita 2015	-97.03871	16.32532	1129	5	
BoTN2015(3)	San Cristobal Honduras	Oaxaca	Putative  maize-teosinte hybrid 2015*	-97.02734	16.32723	1280	4	
BoTp2003	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis(CUCBA JSG-RMM-LCL-483)	-97.0325	16.3238889	1272	5	
BoTp2015	San Cristobal Honduras	Oaxaca	Zea mays ssp. parviglumis	-97.02734	16.32723	1280	7	
ChNa1958	Chalco	Estado de México	Chalqueño 1958 (CIMMYT 2235)	-98.8833	19.25	2247	9	
ChNa1972	Ozumba de Alzate	Estado de México	Chalqueño 1972 (INIFAP 4013-MEX-612)	-98.79361	19.03917	2300	3	
ChNa2003	San Pedro Nexapa	Estado de México	Chalqueño 2003 (CUCBA JSG-RMM-LCL-478)	-98.72694444	19.08277778	2705	5	
ChNa2015a	San Pedro Nexapa	Estado de México	Chalqueño 2015	-98.7273	19.08338	2702	3	
ChNa2015b	San Pedro Nexapa	Estado de México	Chalqueño 2015	-98.727	19.08214	2703	3	
