bam_file_list	vcf_list	sample_explanation_pop_explanation	groups	altitud
./bam/10026_1:C7U03ANXX:7:250516166.sort.bam	10026_1:C7U03ANXX:7:250516166	ZmTm198304_ZmTm1983	Zmx1980	1800
./bam/10026_2:C7U03ANXX:7:250516174.sort.bam	10026_2:C7U03ANXX:7:250516174	ZmTm198302_ZmTm1983	Zmx1980	1800
./bam/10026_3:C7U03ANXX:7:250516182.sort.bam	10026_3:C7U03ANXX:7:250516182	ZmTm198303_ZmTm1983	Zmx1980	1800
./bam/10036_1:C7U03ANXX:7:250516183.sort.bam	10036_1:C7U03ANXX:7:250516183	TbTp198304_TbTp1983	Zpr1980	980
./bam/10046_1:C7U03ANXX:7:250516127.sort.bam	10046_1:C7U03ANXX:7:250516127	ChTm198404_ChTm1984	Zmx1980	2390
./bam/10046_2:C7U03ANXX:7:250516135.sort.bam	10046_2:C7U03ANXX:7:250516135	ChTm198405_ChTm1984	Zmx1980	2390
./bam/10046_3:C7U03ANXX:7:250516143.sort.bam	10046_3:C7U03ANXX:7:250516143	ChTm198406_ChTm1984	Zmx1980	2390
./bam/10046_4:C7U03ANXX:7:250516151.sort.bam	10046_4:C7U03ANXX:7:250516151	ChTm198407_ChTm1984	Zmx1980	2390
./bam/10062_1:C7U03ANXX:7:250516170.sort.bam	10062_1:C7U03ANXX:7:250516170	PpTp1984a1_PpTp1984a	Zpr1980	1465
./bam/196_10:C872HANXX:7:250583018.sort.bam	196_10:C872HANXX:7:250583018	JaZd198001_JaZd1980	Zd	NA
./bam/196_11:C872HANXX:7:250583026.sort.bam	196_11:C872HANXX:7:250583026	JaZd198002_JaZd1980	Zd	NA
./bam/196_13:C872HANXX:7:250583034.sort.bam	196_13:C872HANXX:7:250583034	JaZd198003_JaZd1980	Zd	NA
./bam/196_14:C872HANXX:7:250583042.sort.bam	196_14:C872HANXX:7:250583042	JaZd198004_JaZd1980	Zd	NA
./bam/196_15:C872HANXX:7:250583050.sort.bam	196_15:C872HANXX:7:250583050	JaZd198005_JaZd1980	Zd	NA
./bam/196_8:C872HANXX:7:250583002.sort.bam	196_8:C872HANXX:7:250583002	JaZd198006_JaZd1980	Zd	NA
./bam/196_9:C872HANXX:7:250583010.sort.bam	196_9:C872HANXX:7:250583010	JaZd198007_JaZd1980	Zd	NA
./bam/197_26:C872HANXX:7:250583076.sort.bam	197_26:C872HANXX:7:250583076	JaZdJSG01_JaZdJSG	Zd	NA
./bam/197_27:C872HANXX:7:250583084.sort.bam	197_27:C872HANXX:7:250583084	JaZdJSG02_JaZdJSG	Zd	NA
./bam/197_28:C872HANXX:7:250583092.sort.bam	197_28:C872HANXX:7:250583092	JaZdJSG03_JaZdJSG	Zd	NA
./bam/197_29:C872HANXX:7:250583005.sort.bam	197_29:C872HANXX:7:250583005	JaZdJSG04_JaZdJSG	Zd	NA
./bam/197_30:C872HANXX:7:250583013.sort.bam	197_30:C872HANXX:7:250583013	JaZdJSG05_JaZdJSG	Zd	NA
./bam/219_2:C7U03ANXX:7:250516123.sort.bam	219_2:C7U03ANXX:7:250516123	PpNa194302_PpNa1943	LR<1960	982
./bam/219_3:C7U03ANXX:7:250516131.sort.bam	219_3:C7U03ANXX:7:250516131	PpNa194303_PpNa1943	LR<1960	982
./bam/219_4:C7U03ANXX:7:250516139.sort.bam	219_4:C7U03ANXX:7:250516139	PpNa194304_PpNa1943	LR<1960	982
./bam/219_5:C7U03ANXX:7:250516147.sort.bam	219_5:C7U03ANXX:7:250516147	PpNa194305_PpNa1943	LR<1960	982
./bam/219_6:C7U03ANXX:7:250516155.sort.bam	219_6:C7U03ANXX:7:250516155	PpNa194306_PpNa1943	LR<1960	982
./bam/2235_1:C7U03ANXX:7:250516178.sort.bam	2235_1:C7U03ANXX:7:250516178	ChNa195806_ChNa1958	LR<1960	2247
./bam/2235_2:C7U03ANXX:7:250516186.sort.bam	2235_2:C7U03ANXX:7:250516186	ChNa195807_ChNa1958	LR<1960	2247
./bam/2235_3:C7U03ANXX:7:250516194.sort.bam	2235_3:C7U03ANXX:7:250516194	ChNa195808_ChNa1958	LR<1960	2247
./bam/2235_4:C7U03ANXX:7:250516107.sort.bam	2235_4:C7U03ANXX:7:250516107	ChNa195805_ChNa1958	LR<1960	2247
./bam/2235_5:C7U03ANXX:7:250516115.sort.bam	2235_5:C7U03ANXX:7:250516115	ChNa195809_ChNa1958	LR<1960	2247
./bam/313_1:C7U03ANXX:7:250516163.sort.bam	313_1:C7U03ANXX:7:250516163	TbNa1946a1_TbNa1946a	LR<1960	870
./bam/313_2:C7U03ANXX:7:250516171.sort.bam	313_2:C7U03ANXX:7:250516171	TbNa1946a2_TbNa1946a	LR<1960	870
./bam/313_3:C7U03ANXX:7:250516179.sort.bam	313_3:C7U03ANXX:7:250516179	TbNa1946a3_TbNa1946a	LR<1960	870
./bam/313_4:C7U03ANXX:7:250516187.sort.bam	313_4:C7U03ANXX:7:250516187	TbNa1946a4_TbNa1946a	LR<1960	870
./bam/313_5:C7U03ANXX:7:250516195.sort.bam	313_5:C7U03ANXX:7:250516195	TbNa1946a5_TbNa1946a	LR<1960	870
./bam/4191_1:C7U03ANXX:7:250516176.sort.bam	4191_1:C7U03ANXX:7:250516191	ZmNa19441b_ZmNa1944	LR<1960	1645
./bam/4191_1:C7U03ANXX:7:250516191.sort.bam	4191_2:C7U03ANXX:7:250516184	ZmNa194402_ZmNa1944	LR<1960	1645
./bam/4191_2:C7U03ANXX:7:250516184.sort.bam	41_4:C872HANXX:7:250583058	SJTm200206_SJTm2002	Zmx>2000	1597
./bam/438_6:C7U03ANXX:7:250516190.sort.bam	438_6:C7U03ANXX:7:250516190	ZmTm200407_ZmTm2004	Zmx>2000	1916
./bam/444_1:C7U03ANXX:7:250516136.sort.bam	444_1:C7U03ANXX:7:250516136	MsTm200401_MsTm2004	Zmx>2000	2180
./bam/444_2:C7U03ANXX:7:250516144.sort.bam	444_2:C7U03ANXX:7:250516144	MsTm200402_MsTm2004	Zmx>2000	2180
./bam/444_3:C7U03ANXX:7:250516152.sort.bam	444_3:C7U03ANXX:7:250516152	MsTm200403_MsTm2004	Zmx>2000	2180
./bam/444_4:C7U03ANXX:7:250516160.sort.bam	444_4:C7U03ANXX:7:250516160	MsTm200404_MsTm2004	Zmx>2000	2180
